ParkName,CampType,CampCount
Natural Bridges NM,Tent,"3,902"
Natural Bridges NM,RV,"3,113"
Natural Bridges NM,Backcountry,0
Navajo NM,Tent,"1,483"
Navajo NM,RV,"1,531"
Navajo NM,Backcountry,363
New River Gorge NR,Tent,"4,596"
New River Gorge NR,RV,895
New River Gorge NR,Backcountry,0
Noatak NPRES,Tent,0
Noatak NPRES,RV,0
Noatak NPRES,Backcountry,"5,500"
North Cascades NP,Tent,0
North Cascades NP,RV,0
North Cascades NP,Backcountry,"25,516"
Obed W&SR,Tent,"4,464"
Obed W&SR,RV,0
Obed W&SR,Backcountry,487
Olympic NP,Tent,"134,871"
Olympic NP,RV,"64,582"
Olympic NP,Backcountry,"100,347"
Organ Pipe Cactus NM,Tent,"7,188"
Organ Pipe Cactus NM,RV,"19,926"
Organ Pipe Cactus NM,Backcountry,64
Ozark NSR,Tent,"51,696"
Ozark NSR,RV,"22,272"
Ozark NSR,Backcountry,"13,184"
Padre Island NS,Tent,"19,917"
Padre Island NS,RV,"33,263"
Padre Island NS,Backcountry,"13,632"
Petrified Forest NP,Tent,0
Petrified Forest NP,RV,0
Petrified Forest NP,Backcountry,486
Pictured Rocks NL,Tent,"16,825"
Pictured Rocks NL,RV,"5,626"
Pictured Rocks NL,Backcountry,"21,020"
Point Reyes NS,Tent,0
Point Reyes NS,RV,0
Point Reyes NS,Backcountry,"40,363"
Prince William Forest Park,Tent,"22,159"
Prince William Forest Park,RV,"1,407"
Prince William Forest Park,Backcountry,346
Redwood NP,Tent,"4,979"
Redwood NP,RV,0
Redwood NP,Backcountry,"4,681"
Rio Grande W&SR,Tent,0
Rio Grande W&SR,RV,0
Rio Grande W&SR,Backcountry,"1,894"
Rocky Mountain NP,Tent,"120,981"
Rocky Mountain NP,RV,"57,321"
Rocky Mountain NP,Backcountry,"45,223"
Ross Lake NRA,Tent,"26,307"
Ross Lake NRA,RV,"9,684"
Ross Lake NRA,Backcountry,"25,153"
Saguaro NP,Tent,0
Saguaro NP,RV,0
Saguaro NP,Backcountry,"1,868"
Saint Croix NSR,Tent,0
Saint Croix NSR,RV,0
Saint Croix NSR,Backcountry,"91,544"
Santa Monica Mountains NRA,Tent,0
Santa Monica Mountains NRA,RV,0
Santa Monica Mountains NRA,Backcountry,144
Sequoia NP,Tent,"149,714"
Sequoia NP,RV,"69,732"
Sequoia NP,Backcountry,"36,247"
Shenandoah NP,Tent,"129,594"
Shenandoah NP,RV,"51,255"
Shenandoah NP,Backcountry,"48,825"
Sleeping Bear Dunes NL,Tent,"63,057"
Sleeping Bear Dunes NL,RV,"50,267"
Sleeping Bear Dunes NL,Backcountry,"14,732"
Theodore Roosevelt NP,Tent,"14,835"
Theodore Roosevelt NP,RV,"17,730"
Theodore Roosevelt NP,Backcountry,232
Voyageurs NP,Tent,0
Voyageurs NP,RV,0
Voyageurs NP,Backcountry,"46,451"
Whiskeytown NRA,Tent,0
Whiskeytown NRA,RV,"2,378"
Whiskeytown NRA,Backcountry,"5,583"
White Sands NM,Tent,0
White Sands NM,RV,0
White Sands NM,Backcountry,"4,331"
Wind Cave NP,Tent,"4,093"
Wind Cave NP,RV,"4,401"
Wind Cave NP,Backcountry,493
Wupatki NM,Tent,0
Wupatki NM,RV,0
